Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2019,Phishing,Education,80.53,773169.0,Hacker Group,Unpatched Software,Vpn,63.0
China,2019,Ransomware,Retail,62.19,295961.0,Unknown,Unpatched Software,Firewall,71.0
India,2017,Man-In-The-Middle,It,38.65,605895.0,Hacker Group,Weak Passwords,Vpn,36.0
Uk,2024,Ransomware,Telecommunications,41.44,659320.0,Nation-State,Social Engineering,Ai-Based Detection,7.0
Germany,2018,Man-In-The-Middle,It,74.41,810682.0,Insider,Social Engineering,Vpn,68.0
Germany,2017,Man-In-The-Middle,Banking,98.24,285201.0,Unknown,Social Engineering,Antivirus,25.0
Germany,2016,Ddos,Telecommunications,33.26,431262.0,Insider,Unpatched Software,Vpn,34.0
France,2018,Phishing,Government,59.23,909991.0,Unknown,Zero-Day,Antivirus,66.0
India,2016,Man-In-The-Middle,Banking,16.88,698249.0,Unknown,Social Engineering,Vpn,47.0
Uk,2023,Ddos,Healthcare,69.14,505132.5,Hacker Group,Unpatched Software,Firewall,58.0
China,2019,Phishing,Telecommunications,88.67,493675.0,Unknown,Zero-Day,Vpn,29.0
China,2016,Sql Injection,Healthcare,38.81,920768.0,Hacker Group,Unpatched Software,Ai-Based Detection,27.0
India,2019,Ransomware,Education,30.56,583204.0,Insider,Zero-Day,Firewall,37.0
France,2023,Ddos,Healthcare,58.37,599797.0,Nation-State,Unpatched Software,Ai-Based Detection,35.0
France,2024,Ddos,It,48.01,922258.0,Unknown,Social Engineering,Encryption,36.0
Australia,2022,Phishing,Banking,64.31,120789.0,Nation-State,Zero-Day,Encryption,36.0
Russia,2017,Man-In-The-Middle,Healthcare,13.04,850158.0,Hacker Group,Unpatched Software,Ai-Based Detection,67.0
India,2015,Ddos,It,93.14,805278.0,Insider,Social Engineering,Encryption,56.0
Uk,2019,Malware,Telecommunications,14.01,578443.0,Insider,Social Engineering,Firewall,28.0
India,2016,Ddos,It,36.45,261808.0,Nation-State,Social Engineering,Ai-Based Detection,6.0
Brazil,2015,Ransomware,Retail,49.55,920172.0,Hacker Group,Weak Passwords,Antivirus,43.0
France,2023,Ransomware,Education,17.72,261661.0,Insider,Social Engineering,Vpn,11.0
India,2017,Ddos,Government,76.71,246205.0,Nation-State,Unpatched Software,Firewall,30.0
Japan,2022,Phishing,Telecommunications,20.42,186148.0,Nation-State,Weak Passwords,Antivirus,32.0
Brazil,2023,Ddos,Telecommunications,51.84,699007.0,Hacker Group,Social Engineering,Vpn,36.0
China,2021,Phishing,Retail,51.06,628562.0,Insider,Zero-Day,Ai-Based Detection,52.0
Japan,2022,Malware,Education,53.04,570494.0,Nation-State,Zero-Day,Vpn,53.0
Japan,2022,Ransomware,Banking,26.17,937653.0,Insider,Unpatched Software,Encryption,24.0
France,2020,Malware,It,87.32,599757.0,Unknown,Social Engineering,Antivirus,9.0
Australia,2015,Ddos,Government,82.7,904805.0,Hacker Group,Zero-Day,Encryption,61.0
Uk,2022,Sql Injection,Education,66.24,678876.0,Hacker Group,Social Engineering,Ai-Based Detection,11.0
France,2020,Malware,Telecommunications,18.38,246900.0,Hacker Group,Zero-Day,Ai-Based Detection,34.0
India,2015,Sql Injection,It,42.99,85255.0,Unknown,Unpatched Software,Encryption,61.0
Japan,2022,Phishing,Banking,98.47,972469.0,Unknown,Zero-Day,Antivirus,21.0
Brazil,2023,Phishing,Healthcare,14.51,113777.0,Nation-State,Weak Passwords,Vpn,27.0
Brazil,2020,Phishing,Banking,17.75,739540.0,Hacker Group,Zero-Day,Encryption,31.0
China,2020,Man-In-The-Middle,Education,19.81,722788.0,Nation-State,Zero-Day,Firewall,70.0
Japan,2022,Sql Injection,Retail,82.52,214372.0,Insider,Unpatched Software,Encryption,12.0
Usa,2022,Ddos,Retail,32.53,235314.0,Insider,Zero-Day,Ai-Based Detection,62.0
Brazil,2016,Ddos,Education,96.98,140812.0,Nation-State,Unpatched Software,Vpn,71.0
Russia,2015,Ddos,Telecommunications,96.39,238356.0,Unknown,Zero-Day,Ai-Based Detection,3.0
India,2021,Sql Injection,It,98.09,826976.0,Nation-State,Zero-Day,Vpn,57.0
Uk,2019,Man-In-The-Middle,Retail,39.77,757694.0,Nation-State,Unpatched Software,Encryption,69.0
Usa,2017,Ddos,It,74.12,403108.0,Hacker Group,Zero-Day,Vpn,64.0
Australia,2020,Ddos,Banking,92.95,942890.0,Insider,Zero-Day,Antivirus,19.0
France,2022,Malware,Healthcare,20.33,794906.0,Unknown,Weak Passwords,Ai-Based Detection,36.0
Australia,2022,Sql Injection,Government,27.33,481293.0,Hacker Group,Unpatched Software,Antivirus,65.0
India,2016,Ddos,Education,21.01,602692.0,Unknown,Unpatched Software,Vpn,29.0
Uk,2018,Man-In-The-Middle,Retail,13.66,455529.0,Hacker Group,Zero-Day,Firewall,40.0
Japan,2017,Phishing,Telecommunications,50.99,383395.0,Hacker Group,Zero-Day,Vpn,31.0
Usa,2023,Ddos,Retail,59.69,113612.0,Hacker Group,Zero-Day,Vpn,70.0
Australia,2019,Malware,Government,21.72,984411.0,Insider,Unpatched Software,Antivirus,17.0
Uk,2015,Phishing,It,85.58,17229.0,Hacker Group,Weak Passwords,Ai-Based Detection,30.0
France,2018,Phishing,Healthcare,75.11,581303.0,Insider,Social Engineering,Encryption,51.0
India,2019,Man-In-The-Middle,Education,10.8,799474.0,Nation-State,Zero-Day,Ai-Based Detection,23.0
India,2020,Ddos,Banking,86.27,898655.0,Nation-State,Unpatched Software,Ai-Based Detection,10.0
Uk,2021,Malware,Healthcare,67.1,698852.0,Unknown,Weak Passwords,Antivirus,57.0
India,2018,Ddos,Healthcare,76.43,304162.0,Hacker Group,Unpatched Software,Firewall,56.0
Brazil,2022,Phishing,Banking,43.4,191625.0,Hacker Group,Social Engineering,Vpn,65.0
Australia,2024,Phishing,Education,93.32,93185.0,Unknown,Unpatched Software,Vpn,14.0
India,2019,Phishing,Healthcare,35.6,40718.0,Nation-State,Zero-Day,Vpn,24.0
China,2015,Phishing,Government,42.73,310574.0,Nation-State,Zero-Day,Firewall,65.0
India,2024,Ddos,Education,73.37,475719.0,Nation-State,Social Engineering,Antivirus,52.0
Uk,2018,Malware,Retail,73.18,404060.0,Unknown,Weak Passwords,Antivirus,32.0
China,2024,Malware,Education,72.35,132726.0,Hacker Group,Zero-Day,Firewall,55.0
Uk,2016,Phishing,Banking,87.68,336376.0,Nation-State,Social Engineering,Antivirus,11.0
Australia,2022,Malware,Healthcare,67.16,566437.0,Unknown,Weak Passwords,Encryption,63.0
Russia,2017,Man-In-The-Middle,Banking,83.43,313631.0,Nation-State,Weak Passwords,Antivirus,16.0
France,2016,Ddos,Banking,28.66,996004.0,Unknown,Zero-Day,Vpn,28.0
Uk,2021,Phishing,Healthcare,55.04,871600.0,Insider,Unpatched Software,Firewall,29.0
Brazil,2015,Ddos,It,43.51,940656.0,Unknown,Weak Passwords,Ai-Based Detection,41.0
Uk,2015,Ransomware,Telecommunications,20.73,297209.0,Nation-State,Zero-Day,Firewall,66.0
Uk,2019,Phishing,It,78.19,28321.0,Insider,Unpatched Software,Antivirus,63.0
Brazil,2022,Phishing,Telecommunications,50.99,456783.0,Nation-State,Zero-Day,Encryption,36.0
Germany,2018,Ransomware,Banking,87.56,933028.0,Unknown,Unpatched Software,Vpn,25.0
Australia,2023,Phishing,Telecommunications,24.65,221512.0,Nation-State,Zero-Day,Ai-Based Detection,36.0
France,2017,Phishing,Banking,17.88,16585.0,Hacker Group,Unpatched Software,Encryption,12.0
Usa,2022,Ransomware,Education,21.01,787752.0,Nation-State,Weak Passwords,Antivirus,9.0
Russia,2022,Sql Injection,Banking,60.25,662517.0,Unknown,Social Engineering,Firewall,40.0
Brazil,2018,Malware,Education,6.63,274509.0,Hacker Group,Zero-Day,Encryption,20.0
France,2024,Phishing,Government,5.8,508649.0,Hacker Group,Zero-Day,Firewall,66.0
Brazil,2021,Ddos,It,70.26,740257.0,Unknown,Weak Passwords,Encryption,70.0
Australia,2024,Phishing,Healthcare,62.08,969504.0,Hacker Group,Social Engineering,Ai-Based Detection,5.0
Germany,2016,Man-In-The-Middle,Healthcare,90.2,779494.0,Nation-State,Social Engineering,Ai-Based Detection,54.0
Japan,2019,Malware,Banking,50.99,605166.0,Insider,Weak Passwords,Encryption,27.0
France,2022,Malware,Government,55.18,274946.0,Insider,Zero-Day,Encryption,66.0
Japan,2019,Man-In-The-Middle,Banking,41.32,645097.0,Nation-State,Zero-Day,Firewall,36.0
Uk,2015,Ddos,Telecommunications,32.92,157678.0,Unknown,Unpatched Software,Antivirus,68.0
Brazil,2022,Ddos,Retail,15.16,157034.0,Nation-State,Social Engineering,Ai-Based Detection,69.0
India,2020,Sql Injection,Education,62.5,550656.0,Nation-State,Weak Passwords,Encryption,4.0
Australia,2017,Sql Injection,Healthcare,68.91,634048.0,Hacker Group,Zero-Day,Firewall,66.0
Uk,2023,Ddos,Banking,81.26,547495.0,Nation-State,Weak Passwords,Ai-Based Detection,3.0
Uk,2024,Ddos,Healthcare,58.31,487694.0,Hacker Group,Zero-Day,Antivirus,41.0
France,2023,Man-In-The-Middle,Retail,88.65,427067.0,Hacker Group,Unpatched Software,Antivirus,42.0
Australia,2023,Malware,Telecommunications,1.51,954902.0,Hacker Group,Unpatched Software,Ai-Based Detection,55.0
Uk,2020,Ransomware,Banking,49.23,128594.0,Unknown,Weak Passwords,Firewall,53.0
Germany,2024,Phishing,Healthcare,84.53,189430.0,Nation-State,Social Engineering,Firewall,1.0
France,2021,Ddos,Healthcare,90.63,603327.0,Nation-State,Unpatched Software,Ai-Based Detection,15.0
Uk,2021,Ddos,Education,80.26,276593.0,Nation-State,Social Engineering,Encryption,36.0
Japan,2023,Malware,Education,22.87,975282.0,Insider,Unpatched Software,Firewall,49.0
India,2018,Ransomware,Retail,23.79,486810.0,Hacker Group,Unpatched Software,Antivirus,11.0
Japan,2021,Ransomware,It,35.43,969517.0,Hacker Group,Weak Passwords,Firewall,25.0
Australia,2022,Malware,Banking,74.77,151599.0,Insider,Zero-Day,Encryption,18.0
Japan,2022,Sql Injection,It,66.66,749545.0,Unknown,Social Engineering,Ai-Based Detection,30.0
Brazil,2015,Malware,Retail,78.13,71743.0,Hacker Group,Unpatched Software,Vpn,36.0
Germany,2018,Phishing,Banking,11.39,969684.0,Hacker Group,Weak Passwords,Antivirus,41.0
Uk,2020,Sql Injection,Education,87.84,842506.0,Unknown,Weak Passwords,Antivirus,19.0
Brazil,2023,Man-In-The-Middle,It,10.18,933883.0,Nation-State,Social Engineering,Encryption,41.0
Uk,2019,Malware,Banking,4.42,393748.0,Nation-State,Unpatched Software,Ai-Based Detection,10.0
Brazil,2020,Ddos,Banking,76.98,708549.0,Unknown,Weak Passwords,Encryption,37.0
Japan,2020,Ddos,Healthcare,73.24,136762.0,Unknown,Zero-Day,Vpn,41.0
Russia,2018,Malware,Telecommunications,8.11,737958.0,Unknown,Social Engineering,Vpn,35.0
Japan,2020,Man-In-The-Middle,Banking,23.55,108886.0,Insider,Unpatched Software,Antivirus,51.0
Australia,2016,Phishing,Banking,92.79,285311.0,Nation-State,Unpatched Software,Vpn,55.0
Usa,2021,Malware,Retail,71.11,961868.0,Hacker Group,Unpatched Software,Antivirus,57.0
Australia,2023,Man-In-The-Middle,Banking,57.34,471743.0,Unknown,Zero-Day,Firewall,29.0
Uk,2024,Phishing,Government,81.26,993903.0,Unknown,Weak Passwords,Firewall,25.0
China,2024,Ransomware,Telecommunications,7.32,179156.0,Nation-State,Social Engineering,Ai-Based Detection,34.0
Germany,2022,Man-In-The-Middle,Healthcare,56.27,699129.0,Nation-State,Unpatched Software,Antivirus,25.0
Russia,2021,Malware,It,83.76,920983.0,Insider,Social Engineering,Encryption,24.0
Uk,2023,Sql Injection,Banking,85.64,875790.0,Nation-State,Unpatched Software,Firewall,36.0
Russia,2016,Malware,Retail,61.39,415274.0,Hacker Group,Weak Passwords,Encryption,40.0
Russia,2023,Ransomware,Banking,42.14,505132.5,Hacker Group,Social Engineering,Vpn,38.0
France,2021,Man-In-The-Middle,Retail,94.4,357092.0,Unknown,Unpatched Software,Vpn,71.0
Australia,2021,Malware,Telecommunications,84.68,708291.0,Hacker Group,Zero-Day,Ai-Based Detection,54.0
Russia,2024,Malware,Banking,93.33,517610.0,Nation-State,Social Engineering,Firewall,35.0
Germany,2023,Phishing,Government,70.46,368803.0,Hacker Group,Unpatched Software,Vpn,23.0
China,2023,Man-In-The-Middle,Healthcare,48.71,421191.0,Nation-State,Zero-Day,Firewall,36.0
India,2018,Phishing,It,50.99,282139.0,Hacker Group,Unpatched Software,Encryption,37.0
China,2018,Malware,It,49.19,117543.0,Insider,Social Engineering,Encryption,22.0
France,2016,Phishing,Government,27.2,536925.0,Unknown,Zero-Day,Encryption,62.0
France,2023,Ransomware,Retail,64.08,238068.0,Unknown,Unpatched Software,Vpn,36.0
Japan,2022,Malware,Telecommunications,38.46,39814.0,Insider,Social Engineering,Vpn,32.0
India,2018,Ddos,Government,80.89,268956.0,Nation-State,Zero-Day,Antivirus,47.0
France,2015,Malware,Education,15.76,424.0,Nation-State,Unpatched Software,Antivirus,58.0
Usa,2021,Sql Injection,Telecommunications,82.24,982969.0,Unknown,Unpatched Software,Encryption,64.0
Germany,2021,Malware,Government,82.72,219703.0,Nation-State,Social Engineering,Firewall,33.0
Japan,2016,Man-In-The-Middle,Retail,18.96,530947.0,Nation-State,Unpatched Software,Antivirus,12.0
Uk,2017,Sql Injection,It,53.39,576110.0,Insider,Unpatched Software,Antivirus,36.0
Uk,2017,Man-In-The-Middle,Government,48.9,177154.0,Unknown,Zero-Day,Antivirus,68.0
France,2017,Sql Injection,Healthcare,60.77,212177.0,Hacker Group,Social Engineering,Encryption,2.0
Germany,2021,Ddos,Banking,91.24,8787.0,Unknown,Unpatched Software,Encryption,55.0
Usa,2015,Phishing,Education,41.36,291727.0,Insider,Social Engineering,Encryption,31.0
Germany,2022,Ddos,It,78.18,987652.0,Hacker Group,Social Engineering,Vpn,72.0
China,2022,Ransomware,Telecommunications,16.16,236284.0,Unknown,Social Engineering,Antivirus,38.0
Usa,2020,Man-In-The-Middle,Telecommunications,15.63,209853.0,Nation-State,Zero-Day,Vpn,1.0
Australia,2020,Ddos,Retail,36.29,755621.0,Unknown,Zero-Day,Antivirus,50.0
France,2015,Sql Injection,Retail,61.41,694844.0,Insider,Unpatched Software,Antivirus,43.0
France,2018,Phishing,Retail,50.99,795831.0,Nation-State,Unpatched Software,Encryption,61.0
Brazil,2020,Ddos,Retail,17.4,342253.0,Unknown,Weak Passwords,Encryption,22.0
Usa,2016,Phishing,Retail,75.94,638693.0,Nation-State,Weak Passwords,Ai-Based Detection,35.0
Usa,2018,Phishing,Banking,55.9,618616.0,Insider,Zero-Day,Vpn,51.0
Brazil,2023,Sql Injection,Retail,56.76,774426.0,Hacker Group,Social Engineering,Ai-Based Detection,21.0
Australia,2023,Ddos,Government,76.25,900661.0,Insider,Unpatched Software,Encryption,64.0
India,2019,Phishing,Telecommunications,75.23,141627.0,Insider,Unpatched Software,Ai-Based Detection,64.0
Germany,2024,Phishing,It,3.93,845785.0,Unknown,Unpatched Software,Vpn,69.0
Australia,2015,Malware,Retail,99.41,120048.0,Insider,Zero-Day,Antivirus,12.0
Usa,2016,Malware,Retail,32.89,894935.0,Unknown,Social Engineering,Ai-Based Detection,31.0
Japan,2017,Sql Injection,Healthcare,21.66,277555.0,Unknown,Social Engineering,Ai-Based Detection,45.0
Australia,2022,Ransomware,Education,85.86,461012.0,Insider,Unpatched Software,Ai-Based Detection,38.0
Russia,2021,Sql Injection,Telecommunications,80.23,599291.0,Nation-State,Social Engineering,Firewall,55.0
Australia,2016,Man-In-The-Middle,Government,31.92,163602.0,Hacker Group,Unpatched Software,Vpn,26.0
Uk,2021,Sql Injection,Government,39.03,986196.0,Nation-State,Weak Passwords,Encryption,11.0
France,2024,Ransomware,Retail,99.03,349008.0,Nation-State,Zero-Day,Encryption,20.0
Germany,2022,Sql Injection,Retail,25.1,559667.0,Unknown,Zero-Day,Antivirus,69.0
Russia,2018,Ddos,Banking,67.27,335628.0,Hacker Group,Weak Passwords,Antivirus,20.0
Germany,2016,Ransomware,Education,29.89,385363.0,Unknown,Unpatched Software,Antivirus,22.0
Usa,2021,Man-In-The-Middle,Education,15.92,945793.0,Insider,Zero-Day,Firewall,32.0
Russia,2016,Phishing,Telecommunications,95.93,595950.0,Nation-State,Social Engineering,Ai-Based Detection,11.0
Japan,2022,Ddos,Education,12.61,756722.0,Nation-State,Weak Passwords,Vpn,15.0
Australia,2024,Ransomware,Government,39.92,594424.0,Hacker Group,Zero-Day,Antivirus,54.0
China,2015,Malware,Banking,19.36,457790.0,Hacker Group,Zero-Day,Encryption,39.0
China,2024,Ransomware,Telecommunications,70.47,549337.0,Unknown,Social Engineering,Antivirus,63.0
France,2023,Malware,Healthcare,53.34,714681.0,Unknown,Unpatched Software,Firewall,34.0
India,2022,Malware,Government,84.15,849745.0,Hacker Group,Social Engineering,Antivirus,51.0
Brazil,2019,Sql Injection,Banking,27.64,826256.0,Nation-State,Zero-Day,Vpn,50.0
Uk,2017,Ddos,Banking,9.01,617543.0,Unknown,Zero-Day,Antivirus,43.0
Usa,2017,Sql Injection,Banking,9.08,895507.0,Unknown,Social Engineering,Ai-Based Detection,52.0
Uk,2020,Sql Injection,Banking,67.9,2233.0,Unknown,Social Engineering,Antivirus,45.0
Japan,2022,Phishing,Government,71.12,76776.0,Unknown,Unpatched Software,Firewall,42.0
China,2019,Ransomware,Retail,6.08,175261.0,Nation-State,Zero-Day,Vpn,64.0
Australia,2016,Man-In-The-Middle,Healthcare,90.85,746369.0,Insider,Unpatched Software,Antivirus,30.0
Australia,2017,Malware,Healthcare,77.32,563706.0,Nation-State,Zero-Day,Ai-Based Detection,35.0
India,2022,Ddos,Healthcare,12.01,254980.0,Insider,Unpatched Software,Ai-Based Detection,36.0
Russia,2021,Malware,Education,0.54,869574.0,Unknown,Unpatched Software,Antivirus,16.0
Russia,2015,Malware,It,95.33,282598.0,Unknown,Zero-Day,Vpn,21.0
Brazil,2023,Malware,Telecommunications,62.77,422623.0,Nation-State,Zero-Day,Ai-Based Detection,55.0
Brazil,2021,Malware,Healthcare,83.06,937717.0,Unknown,Unpatched Software,Encryption,56.0
India,2021,Man-In-The-Middle,Telecommunications,71.64,416077.0,Insider,Social Engineering,Vpn,39.0
Australia,2019,Man-In-The-Middle,Banking,47.67,112313.0,Insider,Social Engineering,Firewall,63.0
Australia,2017,Man-In-The-Middle,Telecommunications,79.72,799971.0,Insider,Zero-Day,Firewall,63.0
Japan,2022,Man-In-The-Middle,Retail,47.11,690595.0,Hacker Group,Social Engineering,Antivirus,71.0
India,2017,Man-In-The-Middle,Government,69.69,713419.0,Hacker Group,Unpatched Software,Ai-Based Detection,70.0
Australia,2022,Man-In-The-Middle,Healthcare,81.31,707365.0,Hacker Group,Zero-Day,Antivirus,38.0
Brazil,2016,Malware,Healthcare,83.88,155059.0,Unknown,Unpatched Software,Antivirus,29.0
Russia,2022,Phishing,Banking,85.01,923558.0,Insider,Weak Passwords,Encryption,41.0
Germany,2022,Ddos,Telecommunications,20.55,239313.0,Nation-State,Social Engineering,Ai-Based Detection,6.0
Russia,2023,Ransomware,Telecommunications,60.08,874485.0,Unknown,Weak Passwords,Antivirus,48.0
Russia,2016,Sql Injection,Healthcare,46.95,90895.0,Unknown,Social Engineering,Vpn,36.0
China,2022,Man-In-The-Middle,Retail,47.2,529593.0,Hacker Group,Zero-Day,Vpn,64.0
Germany,2018,Phishing,Government,46.92,610201.0,Nation-State,Weak Passwords,Vpn,72.0
